station_id,事件月,所属split,事件跨split,前缓冲月split,后缓冲月split,缓冲月与事件同split
TAIHU_GH,2019-08,train,False,train,train,True
TAIHU_ML,2006-08,train,False,train,train,True
TAIHU_ML,2011-08,train,False,train,train,True
TAIHU_ML,2012-08,train,False,train,train,True
TAIHU_ML,2013-08,train,False,train,train,True
TAIHU_ML,2015-08,train,False,train,train,True
TAIHU_WHOLE,2009-05,train,False,train,train,True
TAIHU_WHOLE,2024-12,test,False,test,test,True
TAIHU_WT,2006-08,train,False,train,train,True
TAIHU_WT,2009-08,train,False,train,train,True
TAIHU_WT,2011-08,train,False,train,train,True
TAIHU_WT,2013-08,train,False,train,train,True
TAIHU_WT,2018-08,train,False,train,train,True
TAIHU_ZS,2005-05,train,False,train,train,True
TAIHU_ZS,2006-08,train,False,train,train,True
TAIHU_ZS,2007-05,train,False,train,train,True
TAIHU_ZS,2008-05,train,False,train,train,True
TAIHU_ZS,2009-02,train,False,train,train,True
TAIHU_ZS,2010-05+2010-08,train,False,train,train,True
TAIHU_ZS,2011-08,train,False,train,train,True
TAIHU_ZS,2013-08,train,False,train,train,True
TAIHU_ZS,2015-08,train,False,train,train,True
TAIHU_ZS,2016-08,train,False,train,train,True
