grid_id,experimental_zone_id,centroid_x_m,centroid_y_m,water_area_m2
TH_G_204_3424,EXP_ZONE_01,204499.99999999968,3424499.9999999995,999999.9999995925
TH_G_204_3425,EXP_ZONE_01,204500.00000000006,3425500.0,1000000.0000000582
TH_G_204_3426,EXP_ZONE_01,204500.0000000004,3426499.9999999995,1000000.0000006694
TH_G_204_3427,EXP_ZONE_01,204500.00000000035,3427499.9999999995,999999.9999989232
TH_G_204_3428,EXP_ZONE_01,204500.00000000064,3428499.9999999995,999999.9999992142
TH_G_204_3429,EXP_ZONE_01,204500.00000000055,3429499.9999999995,999999.9999998254
TH_G_204_3430,EXP_ZONE_01,204499.99999999994,3430500.0,1000000.0000001746
TH_G_204_3431,EXP_ZONE_01,204500.0,3431499.9999999995,999999.9999998545
TH_G_204_3432,EXP_ZONE_01,204500.0,3432499.9999999995,999999.9999991269
TH_G_204_3433,EXP_ZONE_01,204500.0000000005,3433499.999999999,1000000.0000006112
TH_G_204_3434,EXP_ZONE_01,204500.00000000058,3434499.9999999995,1000000.000000844
TH_G_204_3435,EXP_ZONE_01,204499.99999999977,3435499.9999999995,999999.9999990105
TH_G_204_3436,EXP_ZONE_01,204499.99999999968,3436499.9999999995,999999.9999992142
TH_G_204_3437,EXP_ZONE_01,204499.99999999988,3437499.9999999995,999999.9999999127
TH_G_204_3438,EXP_ZONE_01,204499.99999999936,3438500.0,999999.9999995925
TH_G_204_3439,EXP_ZONE_01,204500.0000000002,3439500.0,1000000.0000001164
TH_G_204_3440,EXP_ZONE_01,204500.00000000044,3440500.0000000005,1000000.0000001746
TH_G_204_3441,EXP_ZONE_01,204500.00000000076,3441500.0,1000000.0000015716
TH_G_204_3442,EXP_ZONE_01,204500.0000000006,3442499.9999999995,999999.9999981956
TH_G_204_3443,EXP_ZONE_01,204499.99999999994,3443500.0,999999.9999999709
TH_G_204_3444,EXP_ZONE_02,204499.99999999994,3444499.9999999995,999999.999998865
TH_G_204_3445,EXP_ZONE_02,204499.99999999985,3445500.0,1000000.0
TH_G_204_3446,EXP_ZONE_02,204500.0000000003,3446500.0,1000000.0000007276
TH_G_204_3447,EXP_ZONE_02,204499.9999999997,3447499.9999999995,1000000.0000011933
TH_G_204_3448,EXP_ZONE_02,204500.0000000001,3448499.9999999995,999999.9999993888
TH_G_204_3449,EXP_ZONE_02,204500.0000000001,3449500.0,1000000.0000006403
TH_G_204_3450,EXP_ZONE_02,204499.9999999997,3450500.0000000005,1000000.0000001164
TH_G_204_3451,EXP_ZONE_02,204500.00000000035,3451500.0,1000000.0000011933
TH_G_204_3452,EXP_ZONE_02,204499.99999999962,3452500.0,1000000.0000003201
TH_G_204_3453,EXP_ZONE_02,204499.99999999988,3453500.0000000005,1000000.0000001164
TH_G_204_3454,EXP_ZONE_02,204500.0000000007,3454500.0,999999.9999992142
TH_G_204_3455,EXP_ZONE_02,204500.00000000006,3455500.0000000005,999999.9999995925
TH_G_204_3456,EXP_ZONE_02,204500.0000000003,3456500.0,999999.9999998836
TH_G_204_3457,EXP_ZONE_02,204499.99999999997,3457500.0,999999.9999992142
TH_G_204_3458,EXP_ZONE_02,204499.99999999988,3458500.0,1000000.0000002619
TH_G_204_3459,EXP_ZONE_02,204500.0000000002,3459499.9999999995,1000000.0000012806
TH_G_204_3460,EXP_ZONE_02,204499.99999999997,3460500.0,1000000.0000003201
TH_G_204_3461,EXP_ZONE_02,204499.99999999985,3461500.0000000005,999999.9999991269
TH_G_204_3462,EXP_ZONE_02,204500.00000000015,3462500.0000000005,999999.999999447
TH_G_204_3463,EXP_ZONE_02,204500.00000000015,3463500.0,999999.9999993015
TH_G_205_3424,EXP_ZONE_01,205499.99999999953,3424500.0,999999.9999993597
TH_G_205_3425,EXP_ZONE_01,205500.0000000001,3425500.0,999999.9999995343
TH_G_205_3426,EXP_ZONE_01,205500.0000000001,3426500.0,999999.9999996508
TH_G_205_3427,EXP_ZONE_01,205499.99999999977,3427500.0,999999.9999995634
TH_G_205_3428,EXP_ZONE_01,205500.00000000003,3428499.9999999995,999999.9999995052
TH_G_205_3429,EXP_ZONE_01,205500.00000000023,3429499.9999999995,1000000.0000003201
TH_G_205_3430,EXP_ZONE_01,205499.99999999985,3430500.0,999999.9999989814
TH_G_205_3431,EXP_ZONE_01,205499.99999999997,3431499.9999999995,999999.9999999127
TH_G_205_3432,EXP_ZONE_01,205500.00000000012,3432499.9999999995,1000000.0000007858
TH_G_205_3433,EXP_ZONE_01,205500.00000000006,3433499.9999999995,999999.9999986321
TH_G_205_3434,EXP_ZONE_01,205500.00000000067,3434500.0,1000000.000001106
TH_G_205_3435,EXP_ZONE_01,205500.00000000032,3435500.0,1000000.0000018335
TH_G_205_3436,EXP_ZONE_01,205500.0,3436500.0000000005,1000000.0000002037
TH_G_205_3437,EXP_ZONE_01,205500.0,3437499.999999999,1000000.0000006112
TH_G_205_3438,EXP_ZONE_01,205499.99999999942,3438500.0000000005,999999.9999998836
TH_G_205_3439,EXP_ZONE_01,205499.99999999968,3439500.0000000005,1000000.0000007567
TH_G_205_3440,EXP_ZONE_01,205500.0000000007,3440500.0000000005,999999.9999985448
TH_G_205_3441,EXP_ZONE_01,205500.00000000096,3441500.0,1000000.0000003783
TH_G_205_3442,EXP_ZONE_01,205500.00000000038,3442499.9999999995,1000000.0000004366
TH_G_205_3443,EXP_ZONE_01,205499.99999999974,3443500.0,1000000.0000010186
TH_G_205_3444,EXP_ZONE_02,205500.0,3444500.0,1000000.0000001746
TH_G_205_3445,EXP_ZONE_02,205500.00000000035,3445499.9999999995,1000000.0000006403
TH_G_205_3446,EXP_ZONE_02,205500.00000000076,3446500.0,1000000.0000005821
TH_G_205_3447,EXP_ZONE_02,205500.00000000052,3447499.9999999995,1000000.0000006403
TH_G_205_3448,EXP_ZONE_02,205500.00000000052,3448499.9999999995,1000000.0000000291
TH_G_205_3449,EXP_ZONE_02,205500.00000000012,3449500.0000000005,1000000.0000016007
TH_G_205_3450,EXP_ZONE_02,205499.9999999995,3450500.0,999999.9999988067
TH_G_205_3451,EXP_ZONE_02,205500.0000000002,3451500.0,999999.9999989232
TH_G_205_3452,EXP_ZONE_02,205500.0,3452500.0000000005,1000000.0000001164
TH_G_205_3453,EXP_ZONE_02,205500.00000000012,3453500.0,1000000.0000006985
TH_G_205_3454,EXP_ZONE_02,205500.00000000023,3454500.0000000005,999999.9999998545
TH_G_205_3455,EXP_ZONE_02,205500.00000000035,3455500.0000000005,1000000.0000006403
TH_G_205_3456,EXP_ZONE_02,205500.00000000058,3456499.9999999995,1000000.0000006985
TH_G_205_3457,EXP_ZONE_02,205500.00000000052,3457500.0,1000000.0000010477
TH_G_205_3458,EXP_ZONE_02,205500.00000000032,3458499.9999999995,1000000.0000014843
TH_G_205_3459,EXP_ZONE_02,205500.00000000023,3459499.9999999995,999999.9999991269
TH_G_205_3460,EXP_ZONE_02,205500.0000000002,3460499.9999999995,999999.9999995052
TH_G_205_3461,EXP_ZONE_02,205500.00000000003,3461499.9999999995,1000000.0000019791
TH_G_205_3462,EXP_ZONE_02,205500.00000000015,3462499.9999999995,1000000.0000001746
TH_G_205_3463,EXP_ZONE_02,205499.99999999983,3463500.0,999999.9999994761
TH_G_206_3424,EXP_ZONE_01,206499.99999999945,3424499.9999999995,999999.9999992724
TH_G_206_3425,EXP_ZONE_01,206499.99999999953,3425499.999999999,1000000.0000007567
TH_G_206_3426,EXP_ZONE_01,206499.99999999965,3426500.0000000005,999999.9999993306
TH_G_206_3427,EXP_ZONE_01,206499.99999999936,3427500.0,999999.9999992433
TH_G_206_3428,EXP_ZONE_01,206499.99999999962,3428500.0,999999.999998312
TH_G_206_3429,EXP_ZONE_01,206499.99999999953,3429499.9999999995,999999.9999998254
TH_G_206_3430,EXP_ZONE_01,206499.99999999965,3430500.0,999999.999999709
TH_G_206_3431,EXP_ZONE_01,206500.00000000023,3431500.0,999999.9999999709
TH_G_206_3432,EXP_ZONE_01,206500.00000000003,3432499.9999999995,1000000.0000008149
TH_G_206_3433,EXP_ZONE_01,206500.0000000001,3433499.9999999995,999999.9999989523
TH_G_206_3434,EXP_ZONE_01,206500.00000000015,3434499.999999999,999999.9999994761
TH_G_206_3435,EXP_ZONE_01,206500.0,3435500.0,999999.9999990396
TH_G_206_3436,EXP_ZONE_01,206500.0000000005,3436499.999999999,999999.9999985157
TH_G_206_3437,EXP_ZONE_01,206500.0000000002,3437500.0,1000000.0000015425
TH_G_206_3438,EXP_ZONE_01,206499.99999999988,3438500.0,1000000.0000007276
TH_G_206_3439,EXP_ZONE_01,206499.99999999956,3439500.0,999999.9999995634
TH_G_206_3440,EXP_ZONE_01,206499.99999999983,3440500.0,999999.9999984575
TH_G_206_3441,EXP_ZONE_01,206500.0000000005,3441500.0,999999.9999992433
TH_G_206_3442,EXP_ZONE_01,206500.0000000003,3442499.9999999995,999999.9999997381
TH_G_206_3443,EXP_ZONE_01,206499.9999999998,3443499.9999999995,999999.9999996799
TH_G_206_3444,EXP_ZONE_02,206500.00000000026,3444499.9999999995,999999.999998865
TH_G_206_3445,EXP_ZONE_02,206500.00000000044,3445500.0,999999.9999995925
TH_G_206_3446,EXP_ZONE_02,206499.99999999997,3446500.0000000005,999999.9999990105
TH_G_206_3447,EXP_ZONE_02,206500.00000000015,3447500.0,999999.9999979627
TH_G_206_3448,EXP_ZONE_02,206499.99999999994,3448499.9999999995,999999.9999975262
TH_G_206_3449,EXP_ZONE_02,206499.99999999974,3449500.0000000005,1000000.0000007858
TH_G_206_3450,EXP_ZONE_02,206500.0000000003,3450500.0000000005,1000000.0000001164
TH_G_206_3451,EXP_ZONE_02,206500.0000000002,3451499.9999999995,1000000.0000010477
TH_G_206_3452,EXP_ZONE_02,206500.0000000003,3452499.9999999995,1000000.000001106
TH_G_206_3453,EXP_ZONE_02,206500.00000000038,3453500.0,1000000.0000001455
TH_G_206_3454,EXP_ZONE_02,206500.00000000017,3454500.0,999999.9999990687
TH_G_206_3455,EXP_ZONE_02,206500.00000000038,3455499.9999999995,999999.9999997672
TH_G_206_3456,EXP_ZONE_02,206500.0000000004,3456499.9999999995,999999.9999985739
TH_G_206_3457,EXP_ZONE_02,206500.0000000004,3457500.0000000005,999999.999998312
TH_G_206_3458,EXP_ZONE_02,206500.00000000055,3458499.9999999995,999999.9999995925
TH_G_206_3459,EXP_ZONE_02,206500.00000000047,3459500.0000000005,1000000.0000018917
TH_G_206_3460,EXP_ZONE_02,206500.00000000026,3460499.9999999995,999999.999999447
