artifact_id,model_file,model_file_exists,sha256_match_manifest,task_id,variant,protocol,month_offset,horizon_days,label_provenance,run_dir,run_dir_name_rule_match,empirical_coverage_test,test_n,calibration_n_run,calibration_source_run,calibration_status,bundle_residual_p05,bundle_residual_p95,bundle_width,bundle_calibration_n,unc_vs_bundle,diff_detail
T1:bloom:frozen_split:off0:h15:s20260907,models/T1-bloom-0m-s20260907-15d.joblib,yes,yes,T1,bloom,frozen_split,0,15,proxy_derived,T1-bloom-15d-0m,yes,0.9750,40,212,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=212),-0.350995,0.000000,0.350995,212,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T1:bloom:frozen_split:off0:h1:s20260907,models/T1-bloom-0m-s20260907-1d.joblib,yes,yes,T1,bloom,frozen_split,0,1,proxy_derived,T1-bloom-1d-0m,yes,0.9750,40,212,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=212),-0.350995,0.000000,0.350995,212,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T1:bloom:frozen_split:off0:h3:s20260907,models/T1-bloom-0m-s20260907-3d.joblib,yes,yes,T1,bloom,frozen_split,0,3,proxy_derived,T1-bloom-3d-0m,yes,0.9750,40,212,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=212),-0.350995,0.000000,0.350995,212,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T1:bloom:frozen_split:off0:h7:s20260907,models/T1-bloom-0m-s20260907-7d.joblib,yes,yes,T1,bloom,frozen_split,0,7,proxy_derived,T1-bloom-7d-0m,yes,0.9750,40,212,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=212),-0.350995,0.000000,0.350995,212,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T1:bloom:train_internal_time_block_cv_v1:off1:h30:s20260907,models/T1-bloom-1m-s20260907-30d.joblib,yes,yes,T1,bloom,train_internal_time_block_cv_v1,1,30,proxy_derived,T1-bloom-30d-1m-cv,yes,1.0000,5,16,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=16),0.000000,0.000000,0.000000,16,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T1:bloom:train_internal_time_block_cv_v1:off2:h60:s20260907,models/T1-bloom-2m-s20260907-60d.joblib,yes,yes,T1,bloom,train_internal_time_block_cv_v1,2,60,proxy_derived,T1-bloom-60d-2m-cv,yes,1.0000,5,16,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=16),0.000000,0.000000,0.000000,16,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T1:bloom:train_internal_time_block_cv_v1:off3:h90:s20260907,models/T1-bloom-3m-s20260907-90d.joblib,yes,yes,T1,bloom,train_internal_time_block_cv_v1,3,90,proxy_derived,T1-bloom-90d-3m-cv,yes,1.0000,28,261,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=261),-0.118056,0.000000,0.118056,261,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T3:density:train_internal_time_block_cv_v1:off0:h15:s20260907,models/T3-density-0m-s20260907-15d.joblib,yes,yes,T3,density,train_internal_time_block_cv_v1,0,15,proxy_derived,T3-density-15d-0m-cv,yes,0.7692 (<0.88 验收线),117,225,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=225),-0.245419,0.503331,0.748750,225,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T3:density:train_internal_time_block_cv_v1:off0:h1:s20260907,models/T3-density-0m-s20260907-1d.joblib,yes,yes,T3,density,train_internal_time_block_cv_v1,0,1,proxy_derived,T3-density-1d-0m-cv,yes,0.7692 (<0.88 验收线),117,225,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=225),-0.245419,0.503331,0.748750,225,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
T3:density:train_internal_time_block_cv_v1:off0:h3:s20260907,models/T3-density-0m-s20260907-3d.joblib,yes,yes,T3,density,train_internal_time_block_cv_v1,0,3,proxy_derived,T3-density-3d-0m-cv,yes,0.7692 (<0.88 验收线),117,225,train_expanding_fold_oof_plus_validation_residuals,calibrated(cal_n=225),-0.245419,0.503331,0.748750,225,inconsistency(string),calibration_source bundle='train_fold_out_of_fold_plus_validation' vs run='train_expanding_fold_oof_plus_validation_residuals'
