run_dir,artifact_id,task_id,variant,protocol,month_offset,horizon_days,test_n,empirical_coverage_test,width_p95_minus_p05,unit,actual_n,actual_q1,actual_median,actual_q3,actual_iqr,actual_min,actual_max,3xIQR,flags,conclusion,width_note
T1-bloom-15d-0m,T1:bloom:frozen_split:off0:h15:s20260907,T1,bloom,frozen_split,0,15,40,0.975000,0.350995,概率(0-1),40,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,wide(binary_iqr0)|no_discrimination,wide(binary_iqr0),"p05=-0.3510, p95=0.0000"
T1-bloom-1d-0m,T1:bloom:frozen_split:off0:h1:s20260907,T1,bloom,frozen_split,0,1,40,0.975000,0.350995,概率(0-1),40,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,wide(binary_iqr0)|no_discrimination,wide(binary_iqr0),"p05=-0.3510, p95=0.0000"
T1-bloom-30d-1m-cv,T1:bloom:train_internal_time_block_cv_v1:off1:h30:s20260907,T1,bloom,train_internal_time_block_cv_v1,1,30,5,1.000000,0.000000,概率(0-1),5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,degenerate|weak_evidence,degenerate,"p05=0.0000, p95=0.0000"
T1-bloom-3d-0m,T1:bloom:frozen_split:off0:h3:s20260907,T1,bloom,frozen_split,0,3,40,0.975000,0.350995,概率(0-1),40,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,wide(binary_iqr0)|no_discrimination,wide(binary_iqr0),"p05=-0.3510, p95=0.0000"
T1-bloom-60d-2m-cv,T1:bloom:train_internal_time_block_cv_v1:off2:h60:s20260907,T1,bloom,train_internal_time_block_cv_v1,2,60,5,1.000000,0.000000,概率(0-1),5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,degenerate|weak_evidence,degenerate,"p05=0.0000, p95=0.0000"
T1-bloom-7d-0m,T1:bloom:frozen_split:off0:h7:s20260907,T1,bloom,frozen_split,0,7,40,0.975000,0.350995,概率(0-1),40,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,wide(binary_iqr0)|no_discrimination,wide(binary_iqr0),"p05=-0.3510, p95=0.0000"
T1-bloom-90d-3m-cv,T1:bloom:train_internal_time_block_cv_v1:off3:h90:s20260907,T1,bloom,train_internal_time_block_cv_v1,3,90,28,1.000000,0.118056,概率(0-1),28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,wide(binary_iqr0),wide(binary_iqr0),"p05=-0.1181, p95=0.0000"
T3-density-15d-0m-cv,T3:density:train_internal_time_block_cv_v1:off0:h15:s20260907,T3,density,train_internal_time_block_cv_v1,0,15,117,0.769231,0.748750,原值(密度),117,0.317708,0.519097,0.782986,0.465278,0.105903,0.994792,1.395833,no_discrimination|undercover,no_discrimination,"p05=-0.2454, p95=0.5033"
T3-density-1d-0m-cv,T3:density:train_internal_time_block_cv_v1:off0:h1:s20260907,T3,density,train_internal_time_block_cv_v1,0,1,117,0.769231,0.748750,原值(密度),117,0.317708,0.519097,0.782986,0.465278,0.105903,0.994792,1.395833,no_discrimination|undercover,no_discrimination,"p05=-0.2454, p95=0.5033"
T3-density-3d-0m-cv,T3:density:train_internal_time_block_cv_v1:off0:h3:s20260907,T3,density,train_internal_time_block_cv_v1,0,3,117,0.769231,0.748750,原值(密度),117,0.317708,0.519097,0.782986,0.465278,0.105903,0.994792,1.395833,no_discrimination|undercover,no_discrimination,"p05=-0.2454, p95=0.5033"
T3-density-7d-0m-cv,T3:density:train_internal_time_block_cv_v1:off0:h7:s20260907,T3,density,train_internal_time_block_cv_v1,0,7,117,0.769231,0.748750,原值(密度),117,0.317708,0.519097,0.782986,0.465278,0.105903,0.994792,1.395833,no_discrimination|undercover,no_discrimination,"p05=-0.2454, p95=0.5033"
T3-density-90d-3m-cv,T3:density:train_internal_time_block_cv_v1:off3:h90:s20260907,T3,density,train_internal_time_block_cv_v1,3,90,117,0.794872,0.730854,原值(密度),117,0.317708,0.519097,0.782986,0.465278,0.105903,0.994792,1.395833,undercover,undercover,"p05=-0.2471, p95=0.4838"
T4-biomass-15d-0m-cv,T4:biomass:train_internal_time_block_cv_v1:off0:h15:s20260907,T4,biomass,train_internal_time_block_cv_v1,0,15,117,0.743590,21.027908,原值(生物量),117,1.213914,2.803630,6.699149,5.485235,0.310708,50.699987,16.455706,wide|no_discrimination|undercover,wide,"p05=-3.9369, p95=17.0910"
T4-biomass-1d-0m-cv,T4:biomass:train_internal_time_block_cv_v1:off0:h1:s20260907,T4,biomass,train_internal_time_block_cv_v1,0,1,117,0.743590,21.027908,原值(生物量),117,1.213914,2.803630,6.699149,5.485235,0.310708,50.699987,16.455706,wide|no_discrimination|undercover,wide,"p05=-3.9369, p95=17.0910"
T4-biomass-3d-0m-cv,T4:biomass:train_internal_time_block_cv_v1:off0:h3:s20260907,T4,biomass,train_internal_time_block_cv_v1,0,3,117,0.743590,21.027908,原值(生物量),117,1.213914,2.803630,6.699149,5.485235,0.310708,50.699987,16.455706,wide|no_discrimination|undercover,wide,"p05=-3.9369, p95=17.0910"
T4-biomass-7d-0m-cv,T4:biomass:train_internal_time_block_cv_v1:off0:h7:s20260907,T4,biomass,train_internal_time_block_cv_v1,0,7,117,0.743590,21.027908,原值(生物量),117,1.213914,2.803630,6.699149,5.485235,0.310708,50.699987,16.455706,wide|no_discrimination|undercover,wide,"p05=-3.9369, p95=17.0910"
T4-biomass-90d-3m-cv,T4:biomass:train_internal_time_block_cv_v1:off3:h90:s20260907,T4,biomass,train_internal_time_block_cv_v1,3,90,117,0.811966,24.454693,原值(生物量),117,1.213914,2.803630,6.699149,5.485235,0.310708,50.699987,16.455706,wide|undercover,wide,"p05=-4.5784, p95=19.8763"
T5-chla-15d-0m,UNMAPPED,T5,chla,frozen_split,0,15,1,0.000000,NA,原值(μg/L),1,0.030000,0.030000,0.030000,0.000000,0.030000,0.030000,0.000000,undercover,undercover,run UNMAPPED（artifact_id 不在 manifest，无模型文件）
T5-chla-15d-0m-cv,T5:chla:train_internal_time_block_cv_v1:off0:h15:s20260907,T5,chla,train_internal_time_block_cv_v1,0,15,132,0.803030,9.981951,原值(μg/L),132,3.065062,5.114554,8.105700,5.040638,0.030000,26.546800,15.121914,no_discrimination|undercover,no_discrimination,"p05=-5.5766, p95=4.4054"
T5-chla-1d-0m,UNMAPPED,T5,chla,frozen_split,0,1,1,0.000000,NA,原值(μg/L),1,0.030000,0.030000,0.030000,0.000000,0.030000,0.030000,0.000000,undercover,undercover,run UNMAPPED（artifact_id 不在 manifest，无模型文件）
T5-chla-1d-0m-cv,T5:chla:train_internal_time_block_cv_v1:off0:h1:s20260907,T5,chla,train_internal_time_block_cv_v1,0,1,132,0.803030,9.981951,原值(μg/L),132,3.065062,5.114554,8.105700,5.040638,0.030000,26.546800,15.121914,no_discrimination|undercover,no_discrimination,"p05=-5.5766, p95=4.4054"
