station_name,province,basin,current_lon,current_lat,location_status,coord_source,registry_source,shares_coord_with,official_lon,official_lat,official_source,review_result,reviewer,review_date
312国道桥,江苏省,太湖流域,118.501,32.1731,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
三甲港,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
上塘河排涝闸,浙江省,太湖流域,120.1375,31.2258,suspicious,fallback,taihugurad_stations_json,小梅口；瓜泾口西；林家闸；殷桥；胥湖心,,,,,,
临江,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
乌镇北,浙江省,太湖流域,120.4938,30.7415,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
乌龟山南,江苏省,太湖流域,120.0802,31.4937,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
九号桥,江苏省,太湖流域,120.0542,31.4487,suspicious,amap_geocode,taihugurad_stations_json,大钱,,,,,,
二团,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
五杭运河大桥,浙江省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
五牧,江苏省,太湖流域,120.1541,31.6778,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
五里湖心,江苏省,太湖流域,119.4203,32.1876,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
千灯浦口,江苏省,太湖流域,118.6272,32.0598,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
南台头闸一号桥,浙江省,太湖流域,120.1107,31.4157,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
南浔,浙江省,太湖流域,120.4182,30.8508,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
卫八路桥,浙江省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
合溪,浙江省,太湖流域,119.95,31.05,metadata_only,existing,taihugurad_stations_json,,,,,,,
吕城,江苏省,太湖流域,119.7423,31.8951,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
吴淞口,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
城西大桥,浙江省,太湖流域,120.4361,30.4414,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
塘浦,浙江省,太湖流域,120.7734,31.2963,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
大浦港桥,江苏省,太湖流域,119.5044,31.6361,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
大港桥,江苏省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
大钱,浙江省,太湖流域,120.0542,31.4487,suspicious,amap_geocode,taihugurad_stations_json,九号桥,,,,,,
太浦河桥,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
奉口,浙江省,太湖流域,120.0706,30.4425,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
姚巷桥,江苏省,太湖流域,120.1215,31.5007,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
小新村,浙江省,太湖流域,121.1218,30.7943,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
小梅口,浙江省,太湖流域,120.1375,31.2258,suspicious,fallback,taihugurad_stations_json,瓜泾口西；林家闸；殷桥；胥湖心；上塘河排涝闸,,,,,,
急水港桥,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
拖山,江苏省,太湖流域,120.2156,31.3422,metadata_only,existing,taihugurad_stations_json,,,,,,,
斜塘口,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
新塘,浙江省,太湖流域,120.21,30.93,metadata_only,existing,taihugurad_stations_json,,,,,,,
新港口,浙江省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
新港桥,江苏省,太湖流域,119.9168,31.0428,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
明星路桥,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
