sample_id,station_id,station_name,observed_at,date,month,longitude,latitude,chla_ug_l,chla_mg_l,tsm_mg_l,sdd_cm,sdd_m,water_temp_c,quality_flag,quality_note,source_name,source_file,source_row,acquisition_date,rrs_490,rrs_560,rrs_665,rrs_705,rrs_842
Lake Taihu_20201222_Water_dataset_000,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 09:52:00,2020-12-22,2020-12,120.1990832,31.2470365,6.95,0.0069500000000000004,32.0,,,6.385,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,2,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_001,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 10:07:00,2020-12-22,2020-12,120.1894288,31.21141317,7.12,0.0071200000000000005,17.0,,,6.414,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,3,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_002,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 10:21:00,2020-12-22,2020-12,120.1951193,31.1724955,6.96,0.00696,7.0,,,6.573,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,4,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_003,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 10:33:00,2020-12-22,2020-12,120.228107,31.173293,6.16,0.0061600000000000005,16.0,,,6.528,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,5,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_004,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 11:00:00,2020-12-22,2020-12,120.2310283,31.246582,5.36,0.00536,25.0,,,6.466,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,6,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_005,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 11:12:00,2020-12-22,2020-12,120.2629922,31.24568283,5.67,0.00567,19.0,,,6.422,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,7,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_006,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 11:25:00,2020-12-22,2020-12,120.258994,31.21098317,6.46,0.00646,4.0,,,6.53,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,8,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_007,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 11:37:00,2020-12-22,2020-12,120.2588338,31.1861585,5.36,0.00536,4.0,,,6.537,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,9,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_008,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 12:02:00,2020-12-22,2020-12,120.2945968,31.228659,5.83,0.00583,21.0,,,6.748,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,10,2026-08-24 01:14:24,,,,,
Lake Taihu_20201222_Water_dataset_009,IN_SITU_GROUP,野外采样点(独立坐标),2020-12-22 12:17:00,2020-12-22,2020-12,120.3178983,31.20877583,5.37,0.00537,12.0,,,6.838,Q00,,zenodo_taihu_insitu,storage\raw\zenodo_taihu_insitu\Lake Taihu_20201222_Water_dataset.xlsx,11,2026-08-24 01:14:24,,,,,
