station_id,month,station_type,wq_codmn,wq_do,wq_nh4_n,wq_no2_n,wq_no3_n,wq_ph,wq_phyto_biomass,wq_po4_p,wq_tn,wq_tp,n_wq_obs,met_air_temperature_c,met_precipitation_mm,met_wind_speed_ms,met_wind_direction_deg,met_shortwave_radiation_wm2,mee_tn_class,mee_trophic_state,mee_trophic_state_zones,mee_water_quality_category,mee_zone_status,mee_monitoring_point_count,hydro_water_level_m,hydro_water_level_std,hydro_water_level_n_days,rs_clms_lwq_300m_10daily_chla_mean,rs_clms_lwq_300m_10daily_chla_uncertainty,rs_clms_lwq_300m_10daily_fcb_prob,rs_sentinel2_cdse_monthly_30m_B03,rs_sentinel2_cdse_monthly_30m_B04,rs_sentinel2_cdse_monthly_30m_B05,rs_sentinel2_cdse_monthly_30m_B08,rs_sentinel2_cdse_monthly_30m_B11,rs_sentinel2_cdse_monthly_30m_FAI,rs_sentinel2_cdse_monthly_30m_MCI,rs_sentinel2_cdse_monthly_30m_NDCI,rs_sentinel2_cdse_monthly_30m_NDWI,rs_sentinel2_monthly_20m_B03,rs_sentinel2_monthly_20m_B04,rs_sentinel2_monthly_20m_B05,rs_sentinel2_retrieval_20260802_chlorophyll_a_experimental_ug_l,rs_sentinel2_retrieval_20260802_fai,rs_sentinel2_retrieval_20260802_mci,rs_sentinel2_retrieval_20260802_ndci,rs_sentinel2_retrieval_20260802_ndwi,rs_month_low_quality,static_station_inside_lake,static_station_latitude,static_station_longitude,static_lake_area_km2,static_lake_elevation_mean_m,static_dem_valid_frac,station_name,longitude,latitude,target_chla,target_chla_source,target_tp,target_tp_source,target_tn,target_tn_source,target_do,target_do_source,target_bloom,target_bloom_source,wq_chla,target_chla_in_lake,dataset_split
NASA_POWER_120.300_31.200,2005-01,grid_point,,,,,,,,,,,,1.7168070652173912,1440.95,3.3455842391304347,159.08926630434783,94.73508152173913,,,,,,,2.899139784946237,0.03500844069581253,31.0,,,,,,,,,,,,,,,,,,,,,False,1.0,31.2,120.3,2329.357405,0.5138400197029114,0.5113428545961378,太湖区格点 NASA_POWER_120.300_31.200,120.3,31.2,,,,,,,,,,,,,train
NASA_POWER_120.300_31.200,2005-02,grid_point,,,,,,,,,,,,3.441547619047619,2875.04,4.378601190476191,137.14508928571428,98.41821428571427,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,1.0,31.2,120.3,2329.357405,0.5138400197029114,0.5113428545961378,太湖区格点 NASA_POWER_120.300_31.200,120.3,31.2,,,,,,,,,,,,,train
TAIHU_CT,2005-02,lake_subregion,4.732659932659932,12.252440725244073,0.33,0.01,0.6797333333333334,7.953333333333333,0.0862666666666666,0.0026666666666666,2.5543,0.1158,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_CT(湖区均值,无坐标)",,,,,0.1158,taihu_thqbca_v2,2.5543,taihu_thqbca_v2,12.252440725244073,taihu_thqbca_v2,,,,,train
TAIHU_ET,2005-02,lake_subregion,4.641077441077441,12.210599721059973,0.1033333333333333,0.0073333333333333,0.4040999999999999,7.923333333333333,0.1346333333333333,0.0013333333333333,1.7587666666666666,0.0867433333333333,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_ET(湖区均值,无坐标)",,,,,0.0867433333333333,taihu_thqbca_v2,1.7587666666666666,taihu_thqbca_v2,12.210599721059973,taihu_thqbca_v2,,,,,train
TAIHU_GH,2005-02,lake_subregion,4.870033670033671,12.154811715481172,0.7933333333333333,0.013,1.4160666666666668,8.026666666666667,0.4704,0.0036666666666666,4.074933333333333,0.1132033333333333,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_GH(湖区均值,无坐标)",,,,,0.1132033333333333,taihu_thqbca_v2,4.074933333333333,taihu_thqbca_v2,12.154811715481172,taihu_thqbca_v2,,,,,train
TAIHU_ML,2005-02,lake_subregion,5.597691197691197,10.947399880454272,4.035714285714286,0.0701428571428571,1.346257142857143,7.987142857142857,0.3135571428571428,0.0232857142857142,7.740257142857144,0.1589442857142857,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_ML(湖区均值,无坐标)",,,,,0.1589442857142857,taihu_thqbca_v2,7.740257142857144,taihu_thqbca_v2,10.947399880454272,taihu_thqbca_v2,,,,,train
TAIHU_ST,2005-02,lake_subregion,5.077441077441077,12.384937238493723,0.3533333333333333,0.0249999999999999,1.6198999999999997,7.866666666666667,0.1518666666666666,0.005,3.727966666666666,0.1471333333333333,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_ST(湖区均值,无坐标)",,,,,0.1471333333333333,taihu_thqbca_v2,3.727966666666666,taihu_thqbca_v2,12.384937238493723,taihu_thqbca_v2,,,,,train
TAIHU_WHOLE,2005-02,lake_subregion,5.190064935064935,11.800128262602112,1.3274642857142858,0.0301470238095238,1.220392142857143,7.925892857142857,0.2885173511904761,0.0063690476190476,4.428401413690477,0.1222555357142857,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,太湖全湖(18/17点位均值),,,,,0.1222555357142857,taihu_thqbca_v2,4.428401413690477,taihu_thqbca_v2,11.800128262602112,taihu_thqbca_v2,,,,,train
TAIHU_WT,2005-02,lake_subregion,5.347474747474747,11.76255230125523,2.235,0.0399999999999999,1.96395,7.904999999999999,0.368175,0.009,6.665562500000001,0.145,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_WT(湖区均值,无坐标)",,,,,0.145,taihu_thqbca_v2,6.665562500000001,taihu_thqbca_v2,11.76255230125523,taihu_thqbca_v2,,,,,train
TAIHU_XK,2005-02,lake_subregion,4.38949494949495,12.19665271966527,0.214,0.0212,0.72208,7.93,0.10444,0.002,2.3758000000000004,0.08532,10.0,,,,,,,,,,,,3.0580238095238097,0.11700511502910751,28.0,,,,,,,,,,,,,,,,,,,,,False,,,,2329.357405,0.5138400197029114,0.5113428545961378,"TAIHU_XK(湖区均值,无坐标)",,,,,0.08532,taihu_thqbca_v2,2.3758000000000004,taihu_thqbca_v2,12.19665271966527,taihu_thqbca_v2,,,,,train
