date,month,product,variable,band,file_path,crs,resolution_m,width,height,valid_pixel_ratio,cloud_ratio,quality_flag,notes
2024-09-01,2024-09,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20240901.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-09-11,2024-09,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20240911.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-09-21,2024-09,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20240921.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-10-01,2024-10,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241001.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-10-11,2024-10,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241011.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-10-21,2024-10,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241021.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-11-01,2024-11,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241101.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-11-11,2024-11,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241111.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-11-21,2024-11,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241121.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-12-01,2024-12,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241201.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-12-11,2024-12,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241211.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2024-12-21,2024-12,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2024\taihu_lwq300_v2_20241221.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-01-01,2025-01,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250101.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-01-11,2025-01,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250111.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-01-21,2025-01,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250121.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-02-01,2025-02,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250201.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-02-11,2025-02,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250211.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-02-21,2025-02,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250221.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-03-01,2025-03,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250301.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-03-11,2025-03,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250311.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-03-21,2025-03,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250321.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-04-01,2025-04,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250401.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-04-11,2025-04,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250411.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-04-21,2025-04,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250421.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-05-01,2025-05,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250501.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-05-11,2025-05,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250511.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-05-21,2025-05,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250521.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-06-01,2025-06,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250601.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-06-11,2025-06,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250611.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-06-21,2025-06,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250621.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-07-01,2025-07,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250701.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-07-11,2025-07,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250711.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-07-21,2025-07,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250721.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-08-01,2025-08,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250801.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-08-11,2025-08,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250811.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
2025-08-21,2025-08,clms_lwq_300m_10daily,,,storage\rasters\clms_lwq_300m_v2\2025\taihu_lwq300_v2_20250821.tif,EPSG:4326,0.0027,320,320,1.0,,Q00,COG填充值>1e20判为无效
