entity_type,entity_id,feature_name,value,unit,quality_flag,quality_note,source_name,source_file,acquisition_date
lake,TAIHU,area_km2_calc,2329.357405,km²,Q00,边界计算面积,taihu_boundary_gpkg,,2026-08-24 01:14:27
lake,TAIHU,boundary_source_area_km2,2329.14,km²,Q00,,taihu_boundary_gpkg,,2026-08-24 01:14:27
lake,TAIHU,boundary_area_km2_calc,2329.357405,km²,Q00,,taihu_boundary_gpkg,,2026-08-24 01:14:27
lake,TAIHU,hydrolakes_record_status,0.0,,Q12,"HydroLAKES 检索失败/未找到太湖记录, schema=['Hylak_id', 'Lake_name', 'Country', 'Continent', 'Poly_src', 'Lake_type', 'Grand_id', 'Lake_area', 'Shore_len', 'Shore_dev']",hydrolakes_asia,,2026-08-24 01:14:54
lake,TAIHU,elevation_mean_m,0.5138400197029114,m,Q00,湖泊边界内 GLO-30 高程,copernicus_dem_glo30,storage\silver\geo\copernicus_dem_glo30_taihu.tif,2026-08-24 01:14:55
lake,TAIHU,elevation_median_m,0.5,m,Q00,湖泊边界内 GLO-30 高程,copernicus_dem_glo30,,2026-08-24 01:14:55
lake,TAIHU,elevation_std_m,0.28422147035598755,m,Q00,湖泊边界内 GLO-30 高程,copernicus_dem_glo30,,2026-08-24 01:14:55
lake,TAIHU,elevation_min_m,-11.21866226196289,m,Q00,湖泊边界内 GLO-30 高程,copernicus_dem_glo30,,2026-08-24 01:14:55
lake,TAIHU,elevation_max_m,31.746126174926758,m,Q00,湖泊边界内 GLO-30 高程,copernicus_dem_glo30,,2026-08-24 01:14:55
lake,TAIHU,dem_valid_frac,0.5113428545961378,fraction,Q00,,copernicus_dem_glo30,,2026-08-24 01:14:55
lake,TAIHU,landcover_tree_pct,0.0007612611215769575,%,Q00,"ESA WorldCover 2021 类别占比, 样本为湖盆边界内像元",esa_worldcover_2021,,2026-08-24 01:14:57
lake,TAIHU,landcover_shrubland_pct,5.006809260594408e-07,%,Q00,"ESA WorldCover 2021 类别占比, 样本为湖盆边界内像元",esa_worldcover_2021,,2026-08-24 01:14:57
lake,TAIHU,landcover_grassland_pct,0.00040020556989764144,%,Q00,"ESA WorldCover 2021 类别占比, 样本为湖盆边界内像元",esa_worldcover_2021,,2026-08-24 01:14:57
lake,TAIHU,landcover_cropland_pct,0.002941678101572978,%,Q00,"ESA WorldCover 2021 类别占比, 样本为湖盆边界内像元",esa_worldcover_2021,,2026-08-24 01:14:57
