station_id,station_name,observed_at,date,month,variable_code,value,value_text,unit,quality_flag,quality_note,source_name,source_file,source_row,source_unit,conversion_rule,value_origin
TAIHU_Chlorophyta,TAIHU_Chlorophyta,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,783498.6011904762,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Chlorophyta,(Cells/L),,observed
TAIHU_Chrysophyceae,TAIHU_Chrysophyceae,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,187.5,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Chrysophyceae,(Cells/L),,observed
TAIHU_Cladocera,TAIHU_Cladocera,2005-01-01 00:00:00,2005-01-01,2005-01,zoo_number,48.8464136904762,,ind./L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Zoo_number:3:Cladocera,(ind./L),,observed
TAIHU_Copepoda,TAIHU_Copepoda,2005-01-01 00:00:00,2005-01-01,2005-01,zoo_number,35.514360119047616,,ind./L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Zoo_number:3:Copepoda,(ind./L),,observed
TAIHU_Cryptophyta,TAIHU_Cryptophyta,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,29125.446428571428,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Cryptophyta,(Cells/L),,observed
TAIHU_Cyanobacteria,TAIHU_Cyanobacteria,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,5635161.822916666,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Cyanobacteria,(Cells/L),,observed
TAIHU_Diatom,TAIHU_Diatom,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,138358.24404761905,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Diatom,(Cells/L),,observed
TAIHU_Dinoflagellate,TAIHU_Dinoflagellate,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,0.0,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Dinoflagellate,(Cells/L),,observed
TAIHU_Euglena,TAIHU_Euglena,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,769.7098214285716,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Euglena,(Cells/L),,observed
TAIHU_Others,TAIHU_Others,2005-01-01 00:00:00,2005-01-01,2005-01,phyto_number,147.85714285714286,,cells/L,"Q12,Q13",湖区无坐标元数据; 年尺度; 数据源未提供湖区坐标,taihu_thqbca_v2_water_quality,storage\raw\taihu_thqbca_zenodo\extracted\THQBCA-V2\1.WaterQuality\1WaterQuality.xlsx,Phyto_number:3:Others,(Cells/L),,observed
