cleaner_name,cleaner_status,output_table,files,gb,partitions,formats,reuse_script,script_state,test_status
clean_modis_ocean_color,NEW,remote_sensing,6158,63.123,01_当前主原始数据|02_旧版补充原始数据,hdf5,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_modis_land_surface,NEW,surface_features,2043,2.406,01_当前主原始数据,hdf4,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_sentinel2_assets,EXISTING,remote_sensing,809,7.614,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,delimited_text|json|tiff_be|tiff_le,scripts/build_remote_sensing.py,AVAILABLE,EXISTING_REGRESSION
clean_source_registry,EXISTING,source_registry,578,0.004,06_主数据采集与来源清单,delimited_text|json,scripts/audit_manifests.py,AVAILABLE,EXISTING_REGRESSION
clean_meteorology,EXISTING,observations,553,1.14,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,delimited_text|grib|json|parquet,scripts/clean_meteorology.py,AVAILABLE,EXISTING_REGRESSION
review_quarantined_assets,NEW,remote_sensing,301,0.001,01_当前主原始数据,tiff_be,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_thqbca_raster,EXISTING,remote_sensing,220,2.648,03_THQBCA-V2原始数据集,tiff_le,scripts/build_remote_sensing.py,AVAILABLE,EXISTING_REGRESSION
clean_catalog_responses,NEW,source_registry,209,0.005,01_当前主原始数据|02_旧版补充原始数据|04_公开数据目录检索原始响应,delimited_text|html|json|text,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_mee_monthly_pdf,NEW,observations,162,12.318,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,pdf,,TO_BE_DEVELOPED,PENDING_NEW_TEST
classify_and_deduplicate_legacy,NEW,remote_sensing,148,1.748,05_旧版整理区_混合留存,delimited_text|json|tiff_le,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_hydrology,EXISTING,observations,133,0.0,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,html,scripts/clean_hydrology.py,AVAILABLE,EXISTING_REGRESSION
clean_static_features,EXISTING,static_features,128,3.22,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,delimited_text|html|json|parquet|pdf,scripts/clean_static_features.py,AVAILABLE,EXISTING_REGRESSION
clean_clms_lwq,EXISTING,remote_sensing,94,0.019,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,delimited_text|html|json|tiff_be,scripts/clean_latest_public_data.py,AVAILABLE,EXISTING_REGRESSION
clean_zip_wrapped_netcdf,NEW,observations,80,0.006,01_当前主原始数据,zip_container,,TO_BE_DEVELOPED,PENDING_NEW_TEST
classify_and_deduplicate_legacy,NEW,document_metadata,57,0.0,05_旧版整理区_混合留存,delimited_text|json|text,,TO_BE_DEVELOPED,PENDING_NEW_TEST
classify_and_deduplicate_legacy,NEW,mixed,54,0.019,05_旧版整理区_混合留存,delimited_text|html|text|zip_container,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_water_quality,EXISTING,observations,20,0.018,02_旧版补充原始数据|05_旧版整理区_混合留存,delimited_text|json|text|zip_container,scripts/clean_water_quality.py,AVAILABLE,EXISTING_REGRESSION
exception_temporary,EXCEPTION,rejections,13,0.0,01_当前主原始数据|07_采集过程临时资料,delimited_text|empty|jpeg|png|text,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_thqbca_tables,EXISTING,observations,12,0.004,01_当前主原始数据|02_旧版补充原始数据|03_THQBCA-V2原始数据集,delimited_text|json|zip_container,scripts/build_remote_sensing.py,AVAILABLE,EXISTING_REGRESSION
clean_field_samples,EXISTING,observations,11,0.001,01_当前主原始数据|02_旧版补充原始数据|05_旧版整理区_混合留存,delimited_text|parquet|zip_container,scripts/clean_field_samples.py,AVAILABLE,EXISTING_REGRESSION
inspect_data_archive,NEW,source_registry,4,3.445,01_当前主原始数据|02_旧版补充原始数据|03_THQBCA-V2原始数据集|05_旧版整理区_混合留存,rar,,TO_BE_DEVELOPED,PENDING_NEW_TEST
exception_zero_byte,EXCEPTION,rejections,3,0.0,01_当前主原始数据,empty,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_sentinel3_status,NEW,source_registry,2,0.093,01_当前主原始数据,json,,TO_BE_DEVELOPED,PENDING_NEW_TEST
clean_bloom_archive,NEW,labels,1,0.0,01_当前主原始数据,rar,,TO_BE_DEVELOPED,PENDING_NEW_TEST
exception_lockfile,EXCEPTION,rejections,1,0.0,03_THQBCA-V2原始数据集,unknown_binary,,TO_BE_DEVELOPED,PENDING_NEW_TEST
