file_index,relative_path,source_partition,sniffed_format,size_bytes,sha256,cleaner_name,status,record_count,notes
1,01_当前主原始数据/bloom/taihu_2019_rf/数据样例文件.rar,01_当前主原始数据,rar,405919,f9410cdc861fdfe2ed9b676cfd3932eb0fa614319512e8aaa217dc43fe437593,clean_bloom_archive,METADATA_ONLY,0,安全清点 2 个成员；标签来源判定=remote_sensing_derived_bloom_product
2,01_当前主原始数据/clms_lwq_catalog/20260819T040947Z_index.html,01_当前主原始数据,html,2467,6437aaf5fc8edf744e68d262d6e9865b8414d24e1c9ef8e87bf34afd7a82ef5e,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
3,01_当前主原始数据/clms_lwq_catalog/20260819T040949Z_lwq-nrt_global_300m_10daily_v2.html,01_当前主原始数据,html,1831,5f0551e700367e7a7ecd3b6389588ed8e4cca8cfe935d2b40997573c45d31524,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
4,01_当前主原始数据/clms_lwq_catalog/20260819T040951Z_lwq-nrt_global_300m_10daily_v2_cog.csv,01_当前主原始数据,delimited_text,31372,c60a5b92b19452f0ebbcf283134acd68772f6b841a5f5fe32e493ecc7e59e6e4,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
5,01_当前主原始数据/clms_lwq_catalog/20260823T091151Z_index.html,01_当前主原始数据,html,2467,6437aaf5fc8edf744e68d262d6e9865b8414d24e1c9ef8e87bf34afd7a82ef5e,clean_clms_lwq,DUPLICATE,0,与主副本 01_当前主原始数据/clms_lwq_catalog/20260819T040947Z_index.html 内容一致（SHA-256 相同），不重复计入观测
6,01_当前主原始数据/clms_lwq_catalog/20260823T091152Z_lwq-nrt_global_300m_10daily_v1.html,01_当前主原始数据,html,1831,e2f010379c81658bdf6d6bb4e6acfd407e30ec222f8affbb83ed7cfd45f4feee,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
7,01_当前主原始数据/clms_lwq_catalog/20260823T091154Z_lwq-nrt_global_300m_10daily_v1_cog.csv,01_当前主原始数据,delimited_text,137074,4e9393b4bfda4ea7bc83232da6c8228457ea5bed3ed9449da7fa840fde4a7cc3,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
8,01_当前主原始数据/clms_lwq_catalog/20260827T120748Z_lwq-nrt_global_300m_10daily_v2_cog.csv,01_当前主原始数据,delimited_text,31818,e7015467789dcebca674c464fb46a4d1247f478758873c1b60d2ec87a27c8234,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
9,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_index.html,01_当前主原始数据,html,183,2d4e14599d2a55e380231cd6975bdd48169b9b1155df7f12b3edda52e5b7aea6,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
10,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_lwq-nrt_global_300m_10daily_v2.html,01_当前主原始数据,html,128,914f3e7ed3eaea9bd544fd0df9c20cd88a696f3bedb05d562e0111e273664ed8,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
11,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_lwq-nrt_global_300m_10daily_v2_cog.csv,01_当前主原始数据,delimited_text,794,f3a0bc6d43a121f1aafbffcd5e601832834cb5c95cc8b493c3fe73521873eb48,clean_clms_lwq,METADATA_ONLY,0,既有清洗产物中未检索到该文件名，登记文件元数据并留待人工核查
12,01_当前主原始数据/earth_search_sentinel2/S2A_T50RQV_20260802T024146_L2A/blue.tif,01_当前主原始数据,tiff_le,46724505,3412acb552ae45a7ecb44339c82c86b2d4138fe0cceae45d1730e266f5f31167,clean_sentinel2_assets,CLEANED,0,既有清洗产物中逐文件对账通过（basename=blue.tif）
13,01_当前主原始数据/earth_search_sentinel2/S2A_T50RQV_20260802T024146_L2A/green.tif,01_当前主原始数据,tiff_le,46855357,406573daf2c8222661e42f3758fe91c0647677f65e4e740c6f8b92e22e26e421,clean_sentinel2_assets,CLEANED,0,既有清洗产物中逐文件对账通过（basename=green.tif）
14,01_当前主原始数据/earth_search_sentinel2/S2A_T50RQV_20260802T024146_L2A/nir.tif,01_当前主原始数据,tiff_le,50025190,71607d231772ae870b910c5931d5965eff1b5bf35798baeeccc0943dd9e8bb4a,clean_sentinel2_assets,CLEANED,0,既有清洗产物中逐文件对账通过（basename=nir.tif）
