file_index,release_id,run_id,source_partition,relative_path,file_name,extension,size_bytes,modified_at,sha256,sniffed_format,ext_matches_sniff,is_zero_byte,is_readable,duplicate_group_id,duplicate_count,is_primary_copy,primary_copy_path,file_role,notes
1,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/bloom/taihu_2019_rf/数据样例文件.rar,数据样例文件.rar,rar,405919,2026-08-28T02:15:56+08:00,f9410cdc861fdfe2ed9b676cfd3932eb0fa614319512e8aaa217dc43fe437593,rar,True,False,True,,1,True,01_当前主原始数据/bloom/taihu_2019_rf/数据样例文件.rar,raw,
2,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260819T040947Z_index.html,20260819T040947Z_index.html,html,2467,2026-08-19T12:09:47+08:00,6437aaf5fc8edf744e68d262d6e9865b8414d24e1c9ef8e87bf34afd7a82ef5e,html,True,False,True,DUP_6437aaf5fc8e,5,True,01_当前主原始数据/clms_lwq_catalog/20260819T040947Z_index.html,metadata,
3,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260819T040949Z_lwq-nrt_global_300m_10daily_v2.html,20260819T040949Z_lwq-nrt_global_300m_10daily_v2.html,html,1831,2026-08-19T12:09:49+08:00,5f0551e700367e7a7ecd3b6389588ed8e4cca8cfe935d2b40997573c45d31524,html,True,False,True,DUP_5f0551e70036,3,True,01_当前主原始数据/clms_lwq_catalog/20260819T040949Z_lwq-nrt_global_300m_10daily_v2.html,metadata,
4,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260819T040951Z_lwq-nrt_global_300m_10daily_v2_cog.csv,20260819T040951Z_lwq-nrt_global_300m_10daily_v2_cog.csv,csv,31372,2026-08-19T12:09:51+08:00,c60a5b92b19452f0ebbcf283134acd68772f6b841a5f5fe32e493ecc7e59e6e4,delimited_text,True,False,True,DUP_c60a5b92b194,3,True,01_当前主原始数据/clms_lwq_catalog/20260819T040951Z_lwq-nrt_global_300m_10daily_v2_cog.csv,metadata,
5,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260823T091151Z_index.html,20260823T091151Z_index.html,html,2467,2026-08-23T17:11:51+08:00,6437aaf5fc8edf744e68d262d6e9865b8414d24e1c9ef8e87bf34afd7a82ef5e,html,True,False,True,DUP_6437aaf5fc8e,5,False,01_当前主原始数据/clms_lwq_catalog/20260819T040947Z_index.html,metadata,
6,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260823T091152Z_lwq-nrt_global_300m_10daily_v1.html,20260823T091152Z_lwq-nrt_global_300m_10daily_v1.html,html,1831,2026-08-23T17:11:52+08:00,e2f010379c81658bdf6d6bb4e6acfd407e30ec222f8affbb83ed7cfd45f4feee,html,True,False,True,DUP_e2f010379c81,3,True,01_当前主原始数据/clms_lwq_catalog/20260823T091152Z_lwq-nrt_global_300m_10daily_v1.html,metadata,
7,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260823T091154Z_lwq-nrt_global_300m_10daily_v1_cog.csv,20260823T091154Z_lwq-nrt_global_300m_10daily_v1_cog.csv,csv,137074,2026-08-23T17:11:54+08:00,4e9393b4bfda4ea7bc83232da6c8228457ea5bed3ed9449da7fa840fde4a7cc3,delimited_text,True,False,True,DUP_4e9393b4bfda,3,True,01_当前主原始数据/clms_lwq_catalog/20260823T091154Z_lwq-nrt_global_300m_10daily_v1_cog.csv,metadata,
8,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260827T120748Z_lwq-nrt_global_300m_10daily_v2_cog.csv,20260827T120748Z_lwq-nrt_global_300m_10daily_v2_cog.csv,csv,31818,2026-08-27T20:07:48+08:00,e7015467789dcebca674c464fb46a4d1247f478758873c1b60d2ec87a27c8234,delimited_text,True,False,True,,1,True,01_当前主原始数据/clms_lwq_catalog/20260827T120748Z_lwq-nrt_global_300m_10daily_v2_cog.csv,metadata,
9,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_index.html,20260831T035451Z_index.html,html,183,2026-08-31T11:54:51+08:00,2d4e14599d2a55e380231cd6975bdd48169b9b1155df7f12b3edda52e5b7aea6,html,True,False,True,,1,True,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_index.html,metadata,
10,TAIHU_CLEAN_FINAL_V1_20260831,TAIHU_CLEAN_RUN_20260831T132030+0800,01_当前主原始数据,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_lwq-nrt_global_300m_10daily_v2.html,20260831T035451Z_lwq-nrt_global_300m_10daily_v2.html,html,128,2026-08-31T11:54:51+08:00,914f3e7ed3eaea9bd544fd0df9c20cd88a696f3bedb05d562e0111e273664ed8,html,True,False,True,,1,True,01_当前主原始数据/clms_lwq_catalog/20260831T035451Z_lwq-nrt_global_300m_10daily_v2.html,metadata,
