variable_code,missing_rate
B03,0.0
B04,0.0
B05,0.0
B08,0.0
B11,0.0
FAI,0.0
MCI,0.0
NDCI,0.0
NDWI,0.0
air_pressure,0.0
air_temperature,0.0
area_km2,0.0
area_km2_calc,0.0
boundary_area_km2_calc,0.0
boundary_source_area_km2,0.0
category_monitoring_point_count,0.0
chla,0.0
chla_mean,0.0
chla_retrieval,0.0
chla_uncertainty,0.0
cloud_cover,0.0
codmn,0.0
dem_valid_frac,0.0
distance_to_taihu_boundary_km,0.0
do,0.0
document,1.0
elevation_max_m,0.0
elevation_mean_m,0.0
elevation_median_m,0.0
elevation_min_m,0.0
elevation_std_m,0.0
elevation_valid_frac,0.0
fcb_prob,0.0
hydrolakes_record_status,0.0
inside_lake,0.0
lake_surface_temperature,0.0
landcover_bare_sparse_pct,0.0
landcover_built_up_pct,0.0
landcover_cropland_pct,0.0
landcover_grassland_pct,0.0
landcover_herbaceous_wetland_pct,0.0
landcover_permanent_water_pct,0.0
landcover_shrubland_pct,0.0
landcover_tree_pct,0.0
latitude,0.0
longitude,0.0
nh4_n,0.0
no2_n,0.0
no3_n,0.0
ph,0.0
phyto_biomass,0.0
phyto_number,0.0
po4_p,0.0
precipitation,0.0
sdd,0.0
shortwave_radiation,0.0
tn,0.0
tp,0.0
tsm,0.0
water_level,0.0
water_temperature,0.0
wind_u,0.0
wind_v,0.0
zoo_biomass,0.0
zoo_number,0.0
雨量,0.0
