horizon,dataset_status,feature_date,target_time,target_type,target_source,feature_precedes_target,trainable
h1_3d,READY,2005-01-29,2005-02-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-01-30,2005-02-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-01-31,2005-02-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-04-28,2005-05-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-04-29,2005-05-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-04-30,2005-05-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-07-29,2005-08-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-07-30,2005-08-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-07-31,2005-08-01,observed,taihu_thqbca_history,True,True
h1_3d,READY,2005-10-29,2005-11-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-17,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-18,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-19,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-20,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-21,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-22,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-23,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-24,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-01-25,2005-02-01,observed,taihu_thqbca_history,True,True
h7_15d,READY,2005-04-16,2005-05-01,observed,taihu_thqbca_history,True,True
h30_90d,BLOCKED_AUTH,2004-11-03,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-04,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-05,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-06,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-07,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-08,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-09,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-10,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-11,2005-02-01,observed,taihu_thqbca_history,True,False
h30_90d,BLOCKED_AUTH,2004-11-12,2005-02-01,observed,taihu_thqbca_history,True,False
