hybas_id,next_down,selection_reason,sub_area_km2,up_area_km2,pfaf_id,order
4080009810,0,intersects_taihu_buffer,2002.1,2002.1,43309090,0
4080009880,0,intersects_taihu_buffer,204.0,1909198.6,43410001,1
4080009890,0,intersects_taihu_buffer,0.3,0.4,43501001,0
4080009900,0,intersects_taihu_buffer,1105.4,1105.5,43501002,1
4080009910,0,intersects_taihu_buffer,16.7,16.8,43501003,0
4080009920,0,intersects_taihu_buffer,314.4,314.6,43501004,1
4080009930,0,intersects_taihu_buffer,595.3,595.3,43501005,0
4080009980,0,intersects_taihu_buffer,461.4,461.4,43501006,1
4080009990,0,intersects_taihu_buffer,1193.2,1193.2,43501007,0
4080010250,0,intersects_taihu_buffer,1138.8,1138.8,43503005,0
4080010320,0,intersects_taihu_buffer,650.4,650.5,43503006,1
4080010350,0,intersects_taihu_buffer,658.0,658.0,43503008,1
4080010370,0,intersects_taihu_buffer,1681.3,43614.4,43504100,1
4080051560,4080872820,upstream_next_down_chain,479.2,5829.4,43499011,2
4080052920,4080872820,upstream_next_down_chain,2731.3,2731.3,43499020,2
4080057380,4080625430,upstream_next_down_chain,821.8,821.8,43499600,3
4080058230,4080642530,upstream_next_down_chain,681.5,681.5,43499900,2
4080058570,4080872820,upstream_next_down_chain,646.2,646.2,43499030,2
4080058760,4080625570,upstream_next_down_chain,625.8,625.8,43499700,2
4080061530,4080789820,upstream_next_down_chain,389.1,389.1,43492300,3
4080062960,4080872820,upstream_next_down_chain,315.5,315.5,43499100,2
4080064330,4080637910,upstream_next_down_chain,249.9,250.2,43499920,3
4080065240,4080752870,upstream_next_down_chain,218.3,218.4,43491400,3
4080066320,4080806300,upstream_next_down_chain,190.6,190.7,43488090,4
4080068320,4080847390,upstream_next_down_chain,141.9,142.0,43497400,3
4080068770,4080867050,upstream_next_down_chain,134.9,134.9,43492900,3
4080072370,4080806520,upstream_next_down_chain,207.2,207.2,43488080,5
4080072670,4080810520,upstream_next_down_chain,78.5,78.7,43497200,3
4080072820,4080732480,upstream_next_down_chain,77.4,77.4,43491600,3
4080072970,4080830420,upstream_next_down_chain,75.5,75.5,43497220,4
4080073420,4080847390,upstream_next_down_chain,69.7,69.7,43497410,3
4080074420,4080815730,upstream_next_down_chain,185.7,185.7,43488000,4
4080074830,4080867150,upstream_next_down_chain,54.4,54.5,43499190,2
4080076890,4080867040,upstream_next_down_chain,37.5,37.6,43492800,4
4080591740,4080051560,upstream_next_down_chain,584.9,585.1,43499012,3
4080591840,4080051560,upstream_next_down_chain,965.3,4765.2,43499013,2
4080594440,4080591840,upstream_next_down_chain,1182.7,1182.8,43499014,3
4080594580,4080591840,upstream_next_down_chain,11.4,2617.3,43499015,2
4080595520,4080594580,upstream_next_down_chain,379.8,2162.7,43499017,2
4080595530,4080594580,upstream_next_down_chain,443.0,443.1,43499016,3
4080597280,4080595520,upstream_next_down_chain,1102.1,1102.1,43499019,2
4080597450,4080595520,upstream_next_down_chain,680.7,681.3,43499018,3
4080605130,4080607330,upstream_next_down_chain,874.4,874.5,43499656,3
4080605510,4080607330,upstream_next_down_chain,1785.1,10606.0,43499657,2
4080606690,4080605510,upstream_next_down_chain,939.0,939.2,43499658,3
4080606820,4080605510,upstream_next_down_chain,3046.7,7882.1,43499659,2
4080607330,4080607780,upstream_next_down_chain,624.3,12104.8,43499655,2
4080607480,4080607780,upstream_next_down_chain,645.3,645.3,43499654,3
4080607610,4080612690,upstream_next_down_chain,856.2,856.3,43499652,3
4080607780,4080612690,upstream_next_down_chain,135.7,12885.7,43499653,2
4080608340,4080610890,upstream_next_down_chain,936.8,936.8,43499690,2
4080608510,4080610890,upstream_next_down_chain,1098.2,1098.3,43499680,3
4080609470,4080617320,upstream_next_down_chain,630.1,630.3,43499589,2
4080609640,4080617320,upstream_next_down_chain,314.6,314.6,43499588,3
4080610890,4080606820,upstream_next_down_chain,976.0,3011.0,43499670,2
4080610990,4080606820,upstream_next_down_chain,1825.0,1825.0,43499660,3
4080612690,4080614470,upstream_next_down_chain,2321.0,16063.3,43499651,2
4080612700,4080614470,upstream_next_down_chain,1060.9,1060.9,43499640,3
4080614320,4080625430,upstream_next_down_chain,1200.2,1200.2,43499620,3
4080614470,4080625430,upstream_next_down_chain,1133.8,18258.0,43499630,2
4080617320,4080629040,upstream_next_down_chain,1109.8,2054.5,43499587,2
4080617410,4080629040,upstream_next_down_chain,975.3,975.3,43499586,3
4080617660,4080622920,upstream_next_down_chain,1288.4,1288.8,43499748,3
4080617900,4080622920,upstream_next_down_chain,1077.5,1077.7,43499749,2
4080622580,4080626390,upstream_next_down_chain,796.3,796.9,43429409,3
4080622740,4080624340,upstream_next_down_chain,795.9,796.2,43499746,3
4080622810,4080626390,upstream_next_down_chain,193.1,193.1,43429408,4
4080622920,4080624340,upstream_next_down_chain,1926.2,4292.5,43499747,2
4080624340,4080624700,upstream_next_down_chain,673.7,5762.0,43499745,2
4080624350,4080629380,upstream_next_down_chain,600.9,601.2,43499742,3
4080624550,4080624700,upstream_next_down_chain,513.0,513.2,43499744,3
4080624700,4080629380,upstream_next_down_chain,7.6,6282.8,43499743,2
4080625180,4080625570,upstream_next_down_chain,1151.1,76712.4,43499730,1
4080625310,4080625570,upstream_next_down_chain,697.5,3538.5,43499721,2
4080625430,4080631450,upstream_next_down_chain,2024.4,21482.7,43499610,2
4080625570,4080631450,upstream_next_down_chain,2433.7,82684.5,43499710,1
4080626140,4080626330,upstream_next_down_chain,127.2,127.4,43499928,3
4080626230,4080626330,upstream_next_down_chain,549.3,549.3,43499929,2
4080626240,4080628180,upstream_next_down_chain,125.7,125.7,43499926,3
4080626330,4080628180,upstream_next_down_chain,12.3,688.9,43499927,2
4080626390,4080635880,upstream_next_down_chain,895.7,1885.6,43429407,3
4080626750,4080635880,upstream_next_down_chain,270.2,270.3,43429406,4
4080628180,4080634980,upstream_next_down_chain,107.1,921.6,43499925,2
4080628190,4080634980,upstream_next_down_chain,415.1,415.2,43499924,3
4080628440,4080656020,upstream_next_down_chain,780.5,780.7,43421089,3
4080628550,4080656020,upstream_next_down_chain,451.9,452.0,43421088,4
4080628660,4080634070,upstream_next_down_chain,818.7,819.1,43426069,4
4080628930,4080634070,upstream_next_down_chain,346.3,346.3,43426068,5
4080629040,4080629500,upstream_next_down_chain,797.2,3826.8,43499585,2
4080629160,4080629500,upstream_next_down_chain,2006.0,2006.0,43499584,3
4080629380,4080625180,upstream_next_down_chain,1076.0,7960.3,43499741,2
4080629480,4080625180,upstream_next_down_chain,766.1,67601.2,43499750,1
4080629490,4080631460,upstream_next_down_chain,550.1,550.1,43499582,3
4080629500,4080631460,upstream_next_down_chain,231.7,6064.4,43499583,2
4080631450,4080636100,upstream_next_down_chain,1247.3,105414.7,43499590,1
4080631460,4080636100,upstream_next_down_chain,50.5,6665.1,43499581,2
4080631760,4080637540,upstream_next_down_chain,559.8,560.0,43426099,3
4080631900,4080637540,upstream_next_down_chain,569.2,569.2,43426098,4
4080633520,4080629480,upstream_next_down_chain,308.6,3006.3,43499761,2
4080633670,4080625310,upstream_next_down_chain,167.0,167.0,43499722,3
4080633680,4080625310,upstream_next_down_chain,441.7,2674.0,43499723,2
4080633810,4080629480,upstream_next_down_chain,657.7,63828.5,43499770,1
4080633980,4080642830,upstream_next_down_chain,697.0,697.0,43426066,5
4080634070,4080642830,upstream_next_down_chain,223.1,1388.4,43426067,4
4080634750,4080654870,upstream_next_down_chain,160.7,160.7,43424080,4
4080634860,4080654870,upstream_next_down_chain,244.1,244.1,43424090,3
4080634980,4080637910,upstream_next_down_chain,613.5,1950.5,43499923,2
4080635130,4080637910,upstream_next_down_chain,1938.8,1938.8,43499922,3
4080635330,4080637410,upstream_next_down_chain,2438.5,2438.5,43499980,2
4080635480,4080637410,upstream_next_down_chain,368.2,3547.3,43499991,1
4080635800,4080633520,upstream_next_down_chain,1049.8,1050.4,43499762,3
4080635880,4080643110,upstream_next_down_chain,381.6,2537.2,43429405,3
4080635960,4080633520,upstream_next_down_chain,80.3,1647.2,43499763,2
4080636040,4080643110,upstream_next_down_chain,570.0,570.3,43429404,4
4080636100,4080638810,upstream_next_down_chain,554.1,112634.0,43499579,1
4080636260,4080638810,upstream_next_down_chain,705.3,705.3,43499578,2
4080636840,4080633680,upstream_next_down_chain,800.1,800.1,43499724,3
4080637000,4080638500,upstream_next_down_chain,243.3,243.3,43494699,3
4080637010,4080638500,upstream_next_down_chain,657.7,658.1,43494698,4
4080637090,4080638790,upstream_next_down_chain,2083.6,2083.9,43499960,2
4080637100,4080633680,upstream_next_down_chain,80.6,1432.3,43499725,2
4080637260,4080635960,upstream_next_down_chain,240.7,240.7,43499764,3
4080637410,4080638790,upstream_next_down_chain,1446.6,6837.9,43499970,1
4080637420,4080635960,upstream_next_down_chain,82.6,1326.3,43499765,2
4080637540,4080638530,upstream_next_down_chain,476.9,1605.9,43426097,3
4080637550,4080638530,upstream_next_down_chain,264.0,264.1,43426096,4
4080637910,4080642530,upstream_next_down_chain,154.7,4043.2,43499921,2
4080638010,4080642530,upstream_next_down_chain,1169.4,11336.0,43499930,1
4080638030,4080637420,upstream_next_down_chain,473.2,473.2,43499766,3
4080638150,4080638280,upstream_next_down_chain,2430.2,2430.2,43499796,2
4080638160,4080638620,upstream_next_down_chain,676.3,676.3,43499794,2
4080638170,4080637420,upstream_next_down_chain,258.5,770.8,43499767,2
4080638280,4080638620,upstream_next_down_chain,187.0,52552.7,43499795,1
4080638400,4080638280,upstream_next_down_chain,118.8,49935.5,43499797,1
4080638500,4080639560,upstream_next_down_chain,416.4,1317.5,43494697,3
4080638530,4080642280,upstream_next_down_chain,26.6,1896.7,43426095,3
4080638620,4080639020,upstream_next_down_chain,108.2,53336.9,43499793,1
4080638650,4080641980,upstream_next_down_chain,438.6,438.6,43499574,2
4080638790,4080638010,upstream_next_down_chain,236.5,9158.4,43499950,1
4080638800,4080639020,upstream_next_down_chain,490.4,490.5,43499792,2
