check_type,observed_at,station_id,variable_code,source_id,source_class,source_status,source_status_reason,source_unit,unit,unit_status,conversion_rule,canonical_value,observed_value,web_value,proxy_value,proxy_flag,water_level_datum_status,water_level_jump_flag,delta_m,delta_hours,delta_m_per_day,flow_sign_flag,lag_days,lag_correlation,lag_sample_count,flow_sign_flags,flow_sign_policy
observation,2005-01-31T16:00:00+00:00,TAIHU_WHOLE,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.925892857142857,7.925892857142857,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_ML,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.987142857142857,7.987142857142857,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_GH,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.026666666666667,8.026666666666667,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_ZS,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.814999999999999,7.814999999999999,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_CT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.953333333333333,7.953333333333333,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_WT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.904999999999999,7.904999999999999,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_ST,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.866666666666667,7.866666666666667,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_XK,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.93,7.93,,,0.0,not_applicable,,,,,,,,,,
observation,2005-01-31T16:00:00+00:00,TAIHU_ET,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.923333333333333,7.923333333333333,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_WHOLE,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.961538690476192,7.961538690476192,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_ML,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.957142857142857,7.957142857142857,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_GH,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.17,8.17,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_ZS,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.475,7.475,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_CT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.06,8.06,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_WT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.8875,7.8875,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_ST,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.996666666666667,7.996666666666667,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_XK,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.086,8.086,,,0.0,not_applicable,,,,,,,,,,
observation,2005-04-30T16:00:00+00:00,TAIHU_ET,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.06,8.06,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_WHOLE,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.037080357142857,8.037080357142857,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_ML,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.9471428571428575,7.9471428571428575,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_GH,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.006666666666666,8.006666666666666,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_ZS,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.975,7.975,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_CT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.083333333333334,8.083333333333334,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_WT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.992500000000001,7.992500000000001,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_ST,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.123333333333333,8.123333333333333,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_XK,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.012,8.012,,,0.0,not_applicable,,,,,,,,,,
observation,2005-07-31T16:00:00+00:00,TAIHU_ET,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.156666666666666,8.156666666666666,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_WHOLE,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.154011904761905,8.154011904761905,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_ML,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.001428571428571,8.001428571428571,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_GH,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.173333333333334,8.173333333333334,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_ZS,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.085,8.085,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_CT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.16,8.16,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_WT,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.254999999999999,8.254999999999999,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_ST,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.226666666666667,8.226666666666667,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_XK,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.154,8.154,,,0.0,not_applicable,,,,,,,,,,
observation,2005-10-31T16:00:00+00:00,TAIHU_ET,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.176666666666668,8.176666666666668,,,0.0,not_applicable,,,,,,,,,,
observation,2006-01-31T16:00:00+00:00,TAIHU_WHOLE,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.03404761904762,8.03404761904762,,,0.0,not_applicable,,,,,,,,,,
observation,2006-01-31T16:00:00+00:00,TAIHU_ML,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,7.725714285714285,7.725714285714285,,,0.0,not_applicable,,,,,,,,,,
observation,2006-01-31T16:00:00+00:00,TAIHU_GH,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.073333333333332,8.073333333333332,,,0.0,not_applicable,,,,,,,,,,
observation,2006-01-31T16:00:00+00:00,TAIHU_ZS,pH,taihu_thqbca_history,observed,available,value present in input file,pH,ph,unknown_variable,not_converted,8.04,8.04,,,0.0,not_applicable,,,,,,,,,,
