variable_code,role,target_alternative,observed_required,max_interval_hours,max_allowed_gap_hours,row_count,valid_value_count,source_count,source_ids,station_count,station_ids,value_origins,min_time,max_time,staleness_days,freshness_status,frequency,median_interval_hours,max_gap_hours,status,status_reason
chlorophyll_a,target,True,True,6.0,24.0,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
algae_density,target,True,True,6.0,24.0,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
bloom_area_km2,target,True,False,6.0,24.0,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
water_temperature,driver,False,True,6.0,24.0,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
total_nitrogen,driver,False,True,72.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
total_phosphorus,driver,False,True,72.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
air_temperature,driver,False,False,24.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
wind_speed,driver,False,False,24.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
wind_direction,driver,False,False,24.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
precipitation,driver,False,False,24.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
shortwave_radiation,driver,False,False,24.0,,0,0,0,,0,,,,,,missing,unknown,,,missing,no standard observation rows
