variable_code,role,target_alternative,observed_required,max_interval_hours,row_count,valid_value_count,source_count,source_ids,station_count,station_ids,value_origins,min_time,max_time,staleness_days,freshness_status,frequency,median_interval_hours,status,status_reason
chlorophyll_a,target,True,True,72.0,0,0,0,,0,,,,,,missing,unknown,,missing,no standard observation rows
algae_density,target,True,True,72.0,16,16,1,taihu_thqbca_history,1,TAIHU_WHOLE,observed,2004-12-31T16:00:00+00:00,2019-12-31T16:00:00+00:00,2421.3333333333335,stale,native,8760.0,low_frequency,median interval 8760.0h exceeds 72.0h
bloom_area_km2,target,True,False,72.0,0,0,0,,0,,,,,,missing,unknown,,missing,no standard observation rows
water_temperature,driver,False,True,24.0,0,0,0,,0,,,,,,missing,unknown,,missing,no standard observation rows
total_nitrogen,driver,False,True,72.0,576,576,1,taihu_thqbca_history,9,"TAIHU_CT,TAIHU_ET,TAIHU_GH,TAIHU_ML,TAIHU_ST,TAIHU_WHOLE,TAIHU_WT,TAIHU_XK,TAIHU_ZS",observed,2005-01-31T16:00:00+00:00,2020-10-31T16:00:00+00:00,2116.3333333333335,stale,native,2208.0,low_frequency,median interval 2208.0h exceeds 72.0h
total_phosphorus,driver,False,True,72.0,576,576,1,taihu_thqbca_history,9,"TAIHU_CT,TAIHU_ET,TAIHU_GH,TAIHU_ML,TAIHU_ST,TAIHU_WHOLE,TAIHU_WT,TAIHU_XK,TAIHU_ZS",observed,2005-01-31T16:00:00+00:00,2020-10-31T16:00:00+00:00,2116.3333333333335,stale,native,2208.0,low_frequency,median interval 2208.0h exceeds 72.0h
air_temperature,driver,False,False,24.0,23935,23935,3,"nasa_power_hourly,open_meteo_forecast,taihu_thqbca_history",3,"NASA_POWER_120.300_31.200,OPEN_METEO_120.249_31.107,TAIHU_CLIMATE","forecast_proxy,observed,proxy",1955-12-31T16:00:00+00:00,2026-08-20T15:00:00+00:00,-2.625,fresh,daily,24.0,ready,frequency and value origin meet requirement
wind_speed,driver,False,False,24.0,23929,23929,3,"nasa_power_hourly,open_meteo_forecast,taihu_thqbca_history",3,"NASA_POWER_120.300_31.200,OPEN_METEO_120.249_31.107,TAIHU_CLIMATE","forecast_proxy,observed,proxy",1955-12-31T16:00:00+00:00,2026-08-20T15:00:00+00:00,-2.625,fresh,daily,24.0,ready,frequency and value origin meet requirement
wind_direction,driver,False,False,24.0,120,120,2,"nasa_power_hourly,open_meteo_forecast",2,"NASA_POWER_120.300_31.200,OPEN_METEO_120.249_31.107","forecast_proxy,proxy",2025-05-31T16:00:00+00:00,2026-08-20T15:00:00+00:00,-2.625,fresh,hourly,1.0,ready,frequency and value origin meet requirement
precipitation,driver,False,False,24.0,20861,20861,3,"nasa_power_hourly,open_meteo_forecast,taihu_thqbca_history",3,"NASA_POWER_120.300_31.200,OPEN_METEO_120.249_31.107,TAIHU_CLIMATE","forecast_proxy,observed,proxy",1955-12-31T16:00:00+00:00,2026-08-20T15:00:00+00:00,-2.625,fresh,daily,24.0,ready,frequency and value origin meet requirement
shortwave_radiation,driver,False,False,24.0,120,120,2,"nasa_power_hourly,open_meteo_forecast",2,"NASA_POWER_120.300_31.200,OPEN_METEO_120.249_31.107","forecast_proxy,proxy",2025-05-31T16:00:00+00:00,2026-08-20T15:00:00+00:00,-2.625,fresh,hourly,1.0,ready,frequency and value origin meet requirement
