feature_name,observed_count,missing_count,future_blocked_count,basis,total_count,missing_rate
air_temperature,5685,93,1,aligned_driver,5778,0.016096
algae_density,0,5762,0,aligned_driver,5762,1.0
ammonia_nitrogen,5184,18,0,aligned_driver,5202,0.00346
cloud_cover,0,5776,0,aligned_driver,5776,1.0
cod_mn,5184,18,0,aligned_driver,5202,0.00346
dissolved_oxygen,5184,18,0,aligned_driver,5202,0.00346
nitrate_nitrogen,5184,18,0,aligned_driver,5202,0.00346
nitrite_nitrogen,5184,18,0,aligned_driver,5202,0.00346
pH,5184,18,0,aligned_driver,5202,0.00346
phosphate_phosphorus,5184,18,0,aligned_driver,5202,0.00346
phytoplankton_biomass,5184,18,0,aligned_driver,5202,0.00346
precipitation,5684,94,2,aligned_driver,5778,0.016269
shortwave_radiation,0,5778,1,aligned_driver,5778,1.0
total_nitrogen,5184,18,0,aligned_driver,5202,0.00346
total_phosphorus,5184,18,0,aligned_driver,5202,0.00346
water_level,5776,2,0,aligned_driver,5778,0.000346
wind_direction,0,5778,1,aligned_driver,5778,1.0
wind_speed,5685,93,1,aligned_driver,5778,0.016096
