source_id,variable_code,unit,cleaned_rows,valid_value_rows,missing_value_rows,missing_rate,min_value,max_value,mean_value,station_count,time_start,time_end,median_interval_hours,frequency_status,staleness_days,freshness_status,duplicate_key_rows,rejected_rows,pending_imputation_rows,issue_rows,quality_flagged_rows,imputed_rows,proxy_rows,value_origins,status
copernicus_sentinel2_stac,cloud_cover,percent,2,2,0,0.0,100.0,100.0,100.0,0,2025-06-01T02:35:29.024000+00:00,2025-06-01T02:35:29.024000+00:00,,unknown,442.892025,stale,0,0,0,0,2,0,0,"{""remote_sensing"": 2}",stale
nasa_power_hourly,air_temperature,degC,48,48,0,0.0,19.07,24.35,21.929375,1,2025-05-31T16:00:00+00:00,2025-06-02T15:00:00+00:00,1.0,available,441.375,stale,0,0,0,0,48,0,48,"{""proxy"": 48}",stale
nasa_power_hourly,precipitation,mm,48,48,0,0.0,0.004583333333333333,3.2445833333333334,0.8967447916666667,1,2025-05-31T16:00:00+00:00,2025-06-02T15:00:00+00:00,1.0,available,441.375,stale,0,0,0,0,48,0,48,"{""proxy"": 48}",stale
nasa_power_hourly,shortwave_radiation,W/m2,48,48,0,0.0,0.0,392.0,74.59875,1,2025-05-31T16:00:00+00:00,2025-06-02T15:00:00+00:00,1.0,available,441.375,stale,0,0,0,0,48,0,48,"{""proxy"": 48}",stale
nasa_power_hourly,wind_direction,degree,48,48,0,0.0,2.6,358.4,164.19791666666666,1,2025-05-31T16:00:00+00:00,2025-06-02T15:00:00+00:00,1.0,available,441.375,stale,0,0,0,0,48,0,48,"{""proxy"": 48}",stale
nasa_power_hourly,wind_speed,m/s,48,48,0,0.0,1.43,7.62,4.824166666666667,1,2025-05-31T16:00:00+00:00,2025-06-02T15:00:00+00:00,1.0,available,441.375,stale,0,0,0,0,48,0,48,"{""proxy"": 48}",stale
open_meteo_forecast,air_temperature,__issue__,0,0,0,1.0,,,,0,,,,unknown,,unknown,0,0,0,144,0,0,0,{},issue_only
open_meteo_forecast,air_temperature,degC,72,72,0,0.0,26.7,30.8,28.195833333333333,1,2026-08-17T16:00:00+00:00,2026-08-20T15:00:00+00:00,1.0,available,-2.625,fresh,0,144,0,0,72,0,72,"{""forecast_proxy"": 72}",available
open_meteo_forecast,precipitation,__issue__,0,0,0,1.0,,,,0,,,,unknown,,unknown,0,0,0,144,0,0,0,{},issue_only
open_meteo_forecast,precipitation,mm,72,72,0,0.0,0.0,2.0,0.22777777777777777,1,2026-08-17T16:00:00+00:00,2026-08-20T15:00:00+00:00,1.0,available,-2.625,fresh,0,144,0,0,72,0,72,"{""forecast_proxy"": 72}",available
