variable,rows,at_lower_bound,at_upper_bound,bound_share,table,target_metric,spatial_type,split,samples,positives,positive_rate,task_id
total_phosphorus,196176.0,2060.0,0.0,0.010500774814452328,clipping,,,,,,,
total_nitrogen,196176.0,0.0,0.0,0.0,clipping,,,,,,,
ammonia_nitrogen,196176.0,0.0,0.0,0.0,clipping,,,,,,,
dissolved_oxygen,196176.0,0.0,0.0,0.0,clipping,,,,,,,
water_temperature,196176.0,925.0,0.0,0.0047151537394992254,clipping,,,,,,,
,,,,,date_balance,T1,grid,test,12328.0,265.0,0.021495781959766386,
,,,,,date_balance,T1,grid,train,74504.0,28261.0,0.37932191560184686,
,,,,,date_balance,T1,grid,validation,8040.0,8009.0,0.9961442786069652,
,,,,,date_balance,T1,lake,test,40.0,5.0,0.125,
,,,,,date_balance,T1,lake,train,241.0,116.0,0.48132780082987553,
,,,,,date_balance,T1,lake,validation,25.0,25.0,1.0,
,,,,,date_balance,T1,zone,test,40.0,34.0,0.85,
,,,,,date_balance,T1,zone,train,241.0,238.0,0.9875518672199171,
,,,,,date_balance,T1,zone,validation,25.0,25.0,1.0,
,,,,,date_balance,T7,lake,test,40.0,15.0,0.375,
,,,,,date_balance,T7,lake,train,241.0,116.0,0.48132780082987553,
,,,,,date_balance,T7,lake,validation,25.0,25.0,1.0,
,,,,,date_balance,T7,zone,test,40.0,15.0,0.375,
,,,,,date_balance,T7,zone,train,241.0,116.0,0.48132780082987553,
,,,,,date_balance,T7,zone,validation,25.0,25.0,1.0,
,196176.0,,,,task_levels,,grid,,,,,T1
,401.0,,,,task_levels,,lake,,,,,T1
,401.0,,,,task_levels,,zone,,,,,T1
,196176.0,,,,task_levels,,grid,,,,,T2
,366.0,,,,task_levels,,lake,,,,,T2
,366.0,,,,task_levels,,zone,,,,,T2
,366.0,,,,task_levels,,lake,,,,,T3
,366.0,,,,task_levels,,zone,,,,,T3
,366.0,,,,task_levels,,lake,,,,,T4
,366.0,,,,task_levels,,zone,,,,,T4
,196176.0,,,,task_levels,,grid,,,,,T5
,366.0,,,,task_levels,,lake,,,,,T5
,366.0,,,,task_levels,,zone,,,,,T5
,366.0,,,,task_levels,,lake,,,,,T6
,366.0,,,,task_levels,,zone,,,,,T6
,366.0,,,,task_levels,,lake,,,,,T7
,366.0,,,,task_levels,,zone,,,,,T7
