observed_at,spatial_entity_id,entity_type,variable_code,clean_value,unit,quality_status,value_origin,is_imputed,data_mode,dataset_version_id
2026-08-24T08:00:00+08:00,DEMO-NW,demo_zone,water_temperature,29.1,degC,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-NW,demo_zone,total_phosphorus,0.087,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-NW,demo_zone,total_nitrogen,1.86,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-NW,demo_zone,chlorophyll_a,32.4,ug/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-NW,demo_zone,algae_density,1860000,cells/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-NW,demo_zone,wind_speed,1.4,m/s,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INLET,demo_zone,water_temperature,27.8,degC,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INLET,demo_zone,total_phosphorus,0.095,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INLET,demo_zone,total_nitrogen,2.14,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INLET,demo_zone,chlorophyll_a,21.6,ug/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INLET,demo_zone,algae_density,970000,cells/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INLET,demo_zone,wind_speed,2.2,m/s,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SE,demo_zone,water_temperature,26.9,degC,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SE,demo_zone,total_phosphorus,0.041,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SE,demo_zone,total_nitrogen,1.02,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SE,demo_zone,chlorophyll_a,12.1,ug/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SE,demo_zone,algae_density,420000,cells/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SE,demo_zone,wind_speed,4.8,m/s,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-CENTER,demo_zone,water_temperature,28.4,degC,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-CENTER,demo_zone,total_phosphorus,0.063,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-CENTER,demo_zone,total_nitrogen,1.47,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-CENTER,demo_zone,chlorophyll_a,18.9,ug/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-CENTER,demo_zone,algae_density,850000,cells/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-CENTER,demo_zone,wind_speed,2.6,m/s,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INTAKE,demo_zone,water_temperature,27.1,degC,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INTAKE,demo_zone,total_phosphorus,0.048,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INTAKE,demo_zone,total_nitrogen,1.18,mg/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INTAKE,demo_zone,chlorophyll_a,14.2,ug/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INTAKE,demo_zone,algae_density,500000,cells/L,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-INTAKE,demo_zone,wind_speed,3.7,m/s,good,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SOUTH,demo_zone,water_temperature,27.6,degC,warning,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SOUTH,demo_zone,total_phosphorus,0.058,mg/L,warning,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SOUTH,demo_zone,total_nitrogen,1.36,mg/L,warning,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SOUTH,demo_zone,chlorophyll_a,17.3,ug/L,warning,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SOUTH,demo_zone,algae_density,740000,cells/L,warning,simulated_demo,false,simulated,DEMO-OBS-V1
2026-08-24T08:00:00+08:00,DEMO-SOUTH,demo_zone,wind_speed,3.1,m/s,warning,simulated_demo,false,simulated,DEMO-OBS-V1
